,title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
0,RuneQuest Starter Set,https://www.drivethrurpg.com/en/product/370454/runequest-starter-set,180.0,11/10/21,"RuneQuest, BRP (Basic Roleplaying)","Nov 9, 2021",14.99,False,False,False,True,False,PDF,True,3,15
1,Going Underground - Rivers of London RPG Scenario,https://www.drivethrurpg.com/en/product/475104/going-underground-rivers-of-london-rpg-scenario,40.0,4/19/24,Basic Roleplaying,"Apr 16, 2024",6.99,False,False,False,True,False,PDF,False,2,2
2,Going Underground - Rivers of London RPG Scenario,https://www.drivethrurpg.com/en/product/475104/going-underground-rivers-of-london-rpg-scenario,40.0,4/19/24,Basic Roleplaying,"Apr 16, 2024",20.99,True,False,True,False,True,"Softcover, Premium Color Book (8.25"" x 10.75"")",False,2,2
3,Going Underground - Rivers of London RPG Scenario,https://www.drivethrurpg.com/en/product/475104/going-underground-rivers-of-london-rpg-scenario,40.0,4/19/24,Basic Roleplaying,"Apr 16, 2024",14.99,True,False,False,False,True,"Softcover, Standard Color Book (8.25"" x 10.75"")",False,2,2
4,Going Underground - Rivers of London RPG Scenario,https://www.drivethrurpg.com/en/product/475104/going-underground-rivers-of-london-rpg-scenario,40.0,4/19/24,Basic Roleplaying,"Apr 16, 2024",27.98,True,False,True,True,True,"PDF + Softcover, Premium Color Book (8.25"" x 10.75"")",False,2,2
5,Going Underground - Rivers of London RPG Scenario,https://www.drivethrurpg.com/en/product/475104/going-underground-rivers-of-london-rpg-scenario,40.0,4/19/24,Basic Roleplaying,"Apr 16, 2024",21.98,True,False,False,True,True,"PDF + Softcover, Standard Color Book (8.25"" x 10.75"")",False,2,2
6,Call of Cthulhu: Arkham,https://www.drivethrurpg.com/en/product/469816/call-of-cthulhu-arkham,270.0,2/21/24,Call of Cthulhu,"Apr 2, 2024",29.99,False,False,False,True,False,PDF,False,3,12
7,Call of Cthulhu Starter Set,https://www.drivethrurpg.com/en/product/260810/call-of-cthulhu-starter-set,154.0,12/12/18,Call of Cthulhu,"Jul 5, 2023",9.99,False,False,False,True,False,PDF,False,11,12
8,Basic Roleplaying: Universal Game Engine,https://www.drivethrurpg.com/en/product/431991/basic-roleplaying-universal-game-engine,264.0,4/7/23,Basic Roleplaying,"Mar 12, 2024",24.99,False,False,False,True,False,PDF,False,2,16
9,Heinrich's Call of Cthulhu Guide to Carcosa,https://www.drivethrurpg.com/en/product/462154/heinrich-s-call-of-cthulhu-guide-to-carcosa,340.0,11/29/23,Call of Cthulhu,"Jan 23, 2024",12.95,False,False,False,True,False,PDF,False,1,1
10,Heinrich's Call of Cthulhu Guide to Carcosa,https://www.drivethrurpg.com/en/product/462154/heinrich-s-call-of-cthulhu-guide-to-carcosa,340.0,11/29/23,Call of Cthulhu,"Jan 23, 2024",64.95,True,False,True,False,True,"Softcover, Premium Color Book (8.5"" x 11"")",False,1,1
11,Heinrich's Call of Cthulhu Guide to Carcosa,https://www.drivethrurpg.com/en/product/462154/heinrich-s-call-of-cthulhu-guide-to-carcosa,340.0,11/29/23,Call of Cthulhu,"Jan 23, 2024",68.95,False,True,True,False,True,"Hardcover, Premium Color Book (8.5"" x 11"")",False,1,1
12,Heinrich's Call of Cthulhu Guide to Carcosa,https://www.drivethrurpg.com/en/product/462154/heinrich-s-call-of-cthulhu-guide-to-carcosa,340.0,11/29/23,Call of Cthulhu,"Jan 23, 2024",77.9,True,False,True,True,True,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",False,1,1
13,Heinrich's Call of Cthulhu Guide to Carcosa,https://www.drivethrurpg.com/en/product/462154/heinrich-s-call-of-cthulhu-guide-to-carcosa,340.0,11/29/23,Call of Cthulhu,"Jan 23, 2024",81.9,False,True,True,True,True,"PDF + Hardcover, Premium Color Book (8.5"" x 11"")",False,1,1
14,Alone Against Nyarlathotep,https://www.drivethrurpg.com/en/product/476836/alone-against-nyarlathotep,340.0,4/7/24,Call of Cthulhu,"Apr 7, 2024",18.99,False,False,False,True,False,PDF,False,1,1
15,Echoes in the Mist: A Regency Cthulhu Story Guide,https://www.drivethrurpg.com/en/product/480447/echoes-in-the-mist-a-regency-cthulhu-story-guide,86.0,5/8/24,Call of Cthulhu,"May 8, 2024",6.99,False,False,False,True,False,PDF,False,2,6
16,Kane's Tone,https://www.drivethrurpg.com/en/product/476571/kane-s-tone,28.0,4/4/24,Call of Cthulhu,"Apr 4, 2024",4.49,False,False,False,True,False,PDF,False,1,1
17,Japan - Empire of Shadows: A Call of Cthulhu sourcebook for 1920s Imperial Japan,https://www.drivethrurpg.com/en/product/446091/japan-empire-of-shadows-a-call-of-cthulhu-sourcebook-for-1920s-imperial-japan,400.0,7/18/23,Call of Cthulhu,"Aug 17, 2023",14.95,False,False,False,True,False,PDF,False,1,0
18,Japan - Empire of Shadows: A Call of Cthulhu sourcebook for 1920s Imperial Japan,https://www.drivethrurpg.com/en/product/446091/japan-empire-of-shadows-a-call-of-cthulhu-sourcebook-for-1920s-imperial-japan,400.0,7/18/23,Call of Cthulhu,"Aug 17, 2023",37.95,True,False,False,False,True,"Softcover, Standard Color Book (8.5"" x 11"")",False,1,0
19,Japan - Empire of Shadows: A Call of Cthulhu sourcebook for 1920s Imperial Japan,https://www.drivethrurpg.com/en/product/446091/japan-empire-of-shadows-a-call-of-cthulhu-sourcebook-for-1920s-imperial-japan,400.0,7/18/23,Call of Cthulhu,"Aug 17, 2023",42.95,False,True,False,False,True,"Hardcover, Standard Color Book (8.5"" x 11"")",False,1,0
20,Japan - Empire of Shadows: A Call of Cthulhu sourcebook for 1920s Imperial Japan,https://www.drivethrurpg.com/en/product/446091/japan-empire-of-shadows-a-call-of-cthulhu-sourcebook-for-1920s-imperial-japan,400.0,7/18/23,Call of Cthulhu,"Aug 17, 2023",52.9,True,False,False,True,True,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",False,1,0
21,Japan - Empire of Shadows: A Call of Cthulhu sourcebook for 1920s Imperial Japan,https://www.drivethrurpg.com/en/product/446091/japan-empire-of-shadows-a-call-of-cthulhu-sourcebook-for-1920s-imperial-japan,400.0,7/18/23,Call of Cthulhu,"Aug 17, 2023",57.9,False,True,False,True,True,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",False,1,0
22,Power Outage,https://www.drivethrurpg.com/en/product/476224/power-outage,40.0,4/27/24,BRP (Basic Roleplaying),"Apr 26, 2024",4.99,False,False,False,True,False,Watermarked PDF,False,3,1
23,Power Outage,https://www.drivethrurpg.com/en/product/476224/power-outage,40.0,4/27/24,BRP (Basic Roleplaying),"Apr 26, 2024",10.99,True,False,False,False,True,"Softcover, Standard Color Book (8.5"" x 11"")",False,3,1
