title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
FlexTale Adventure Generator: Dungeons,https://www.drivethrurpg.com/en/product/481319/flextale-adventure-generator-dungeons,536.0,5/17/24,"Any system / system-agnostic, 5e-compatible, Pathfinder / Starfinder","May 17, 2024",19.99,0,0,0,1,0,PDF,0,1,2
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",11.99,0,0,0,1,0,PDF,0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",69.99,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",74.99,0,1,1,0,1,"Hardcover, Premium Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",39.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",44.99,0,1,0,0,1,"Hardcover, Standard Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",81.98,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",86.98,0,1,1,1,1,"PDF + Hardcover, Premium Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",51.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,3
Baptism of Fire,https://www.drivethrurpg.com/en/product/470760/baptism-of-fire,380.0,4/27/24,"Dungeons & Dragons, Other OSR Games","Mar 31, 2024",56.98,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",0,1,3
